state,gender,age,political_attn,pid...Selected.Choice,pid...Other.party..please.specify.below....Text,pid_dem,pid_rep,pid_ind,ideo_3...Selected.Choice,ideo_3...Other..please.specify.below....Text,lib_branch,con_branch,mod_branch,education,colleges_closed,kara_gpa,kara_work,james_gpa,james_cf,pk_kennedy,pk_mcconnell,pk_vegas,pk_ssmlegal,race,relig,sleep,prosthetic,blind,deaf,gang_resp,gang_fam,trolling,Thanks.for.helping.us.with.our.academic.research.project..OPTIONAL..Any.last.comments.,saw_captcha,cf_race,cf_spouse,cf_relig,cf_policy,party_assn,inparty,outparty,pcomp,comp_order,viz_cond,comp_party,saw_fts,pid7,ideo7,ideo3,pid3,apivoid.anonymity.is_vpn,blacklisted,missing_ip,duplicated,foreign_ip,funny_ip,counts,troll_count_2,untrustworthy
44,1,3,10,4,Libertarian,NA,NA,3,2,,NA,NA,1,5,2,1,1,1,2,1,2,1,4,1,8,0,0,0,0,0,0,1,,1,white,Karen,"leads his son's Junior Explorers group, organized through the Secular Families Foundation",living-wage demonstrations,control_neg,DEMOCRATS,REPUBLICANS,representative,party_first,,Republican,0,NA,3,liberal,,NA,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,TRUE
5,2,4,7,1,,1,NA,NA,1,,1,NA,NA,5,2,2,3,2,1,1,1,1,4,1,13,0,0,0,0,0,0,1,,1,white,Keith,coaches his son's youth sports teams,anti-tax demonstrations,inparty,DEMOCRATS,REPUBLICANS,visual,,demsreps_eq,,0,1,1,liberal,democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
31,1,2,4,2,,NA,2,NA,3,,NA,2,NA,4,3,1,3,2,1,3,2,1,NA,1,3,0,0,0,0,0,0,1,,1,black,Karen,coaches his son's youth sports teams,student government,inparty,REPUBLICANS,DEMOCRATS,visual,,dems,,0,6,6,conservative,republican,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
10,2,2,7,2,,NA,1,NA,3,,NA,1,NA,3,2,3,3,2,3,1,1,1,2,1,13,0,0,0,0,0,0,1,"This was an interesting survey, I'd like to do more like this!",1,white,Keith,"leads his son's Cub Scouts group, organized through the Baptist Church the family attends",living-wage demonstrations,control_pos,REPUBLICANS,DEMOCRATS,representative,group_first,,Democratic,1,7,7,conservative,republican,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
34,1,1,4,3,,NA,NA,2,2,,NA,NA,2,3,2,3,2,3,1,1,1,1,NA,"1,4",9,0,0,0,0,0,0,1,,1,black,Keith,coaches his son's youth sports teams,anti-tax demonstrations,control_pos,DEMOCRATS,REPUBLICANS,visual,,demsreps_real,,1,4,4,moderate,independent,NA,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,TRUE
43,2,3,7,2,,NA,2,NA,3,,NA,2,NA,3,2,2,2,1,2,3,1,1,2,1,9,0,0,0,0,0,0,1,Thank you,1,black,Karen,"leads his son's Cub Scouts group, organized through the Baptist Church the family attends",anti-tax demonstrations,outparty,REPUBLICANS,DEMOCRATS,representative,group_first,,Democratic,0,6,6,conservative,republican,NA,TRUE,FALSE,TRUE,FALSE,TRUE,0,FALSE,TRUE
21,2,2,9,1,,1,NA,NA,1,,1,NA,NA,4,1,1,2,1,2,1,1,1,4,1,13,0,0,0,0,0,0,1,thank you,0,black,Karen,"leads his son's Junior Explorers group, organized through the Secular Families Foundation",student government,control_neg,DEMOCRATS,REPUBLICANS,visual,,usa,,0,1,1,liberal,democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
47,1,3,8,1,,1,NA,NA,3,,NA,1,NA,4,1,1,3,1,1,1,1,1,NA,3,11,0,0,0,0,0,0,1,,1,white,Keith,"leads his son's Junior Explorers group, organized through the Secular Families Foundation",student government,outparty,DEMOCRATS,REPUBLICANS,representative,group_first,,Democratic,1,1,7,conservative,democrat,NA,TRUE,FALSE,FALSE,TRUE,TRUE,0,FALSE,TRUE
39,2,3,8,1,,2,NA,NA,3,,NA,2,NA,3,2,1,2,1,3,1,1,1,4,1,1,0,0,0,0,0,0,2,,1,white,Keith,coaches his son's youth sports teams,student government,control_pos,DEMOCRATS,REPUBLICANS,visual,,reps,,1,2,6,conservative,democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
3,2,1,2,3,,NA,NA,3,2,,NA,NA,1,2,2,1,2,1,2,3,1,1,3,1,9,0,0,1,0,0,0,1,,0,black,Keith,"leads his son's Cub Scouts group, organized through the Baptist Church the family attends",student government,inparty,DEMOCRATS,REPUBLICANS,representative,group_first,,Democratic,0,3,3,liberal,democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
