pcomp_rep_old_perc,pcomp_rep_evang_perc,pcomp_rep_rich_perc,pcomp_rep_south_perc,pcomp_dem_black_perc,pcomp_dem_aa_perc,pcomp_dem_union_perc,pcomp_dem_lgb_perc,pcomp_rep_old_100,pcomp_rep_evang_100,pcomp_rep_rich_100,pcomp_rep_south_100,pcomp_dem_black_100,pcomp_dem_aa_100,pcomp_dem_union_100,pcomp_dem_lgb_100,num1,num2,num3,num4,bayes_lgb_br,bayes_union_br,bayes_lgb_comp_dem,bayes_lgb_comp_rep,bayes_lgb_comp_ind,bayes_union_comp_dem,bayes_union_comp_rep,bayes_union_comp_ind,pk1pk_gm,pk2pk_blm,pk3pk_firstamd,pk4pk_congress,pk5pk_eu,bayes_lgb_br_requiz,bayes_union_br_requiz,bayes_lgb_dem_requiz,bayes_union_dem_requiz,bayes_dem_union_dv,bayes_dem_lgb_dv,bayes_evang_br,bayes_rich_br,bayes_evang_comp_rep,bayes_evang_comp_dem,bayes_evang_comp_ind,bayes_rich_comp_rep,bayes_rich_comp_dem,bayes_rich_comp_ind,bayes_evang_br_requiz,bayes_rich_br_requiz,bayes_evang_rep_requiz,bayes_rich_rep_requiz,bayes_rep_evang_dv,bayes_rep_rich_dv,state,sexgender,age,race,religionrelig,polinterestpol_int,pid3pid,pid3_4_textotherpartypleasespeci,strdempid_dem,strreppid_rep,pidleanpid_ind,party,bayes_cond,num1_01,num2_01,num3_01,num4_01,num_index,pk1,pk2,pk3,pk4,pk5,pk_index,pid7,pid3,br_shown,responseid,study,timing_cond,timing_dem_aa_fast,q162_firstclickfirstclick,q162_lastclicklastclick,q162_pagesubmitpagesubmit,q162_clickcountclickcount,timing_dem_union_fast,q163_firstclickfirstclick,q163_lastclicklastclick,q163_pagesubmitpagesubmit,q163_clickcountclickcount,timing_dem_lgb_fast,q74_firstclickfirstclick,q74_lastclicklastclick,q74_pagesubmitpagesubmit,q74_clickcountclickcount,timing_rep_old_fast,q144_firstclickfirstclick,q144_lastclicklastclick,q144_pagesubmitpagesubmit,q144_clickcountclickcount,timing_rep_evang_fast,q146_firstclickfirstclick,q146_lastclicklastclick,q146_pagesubmitpagesubmit,q146_clickcountclickcount,timing_rep_south_fast,q148_firstclickfirstclick,q148_lastclicklastclick,q148_pagesubmitpagesubmit,q148_clickcountclickcount,timing_rep_rich_fast,q142_firstclickfirstclick,q142_lastclicklastclick,q142_pagesubmitpagesubmit,q142_clickcountclickcount
20,30,20,15,70,20,80,40,NA,NA,NA,NA,NA,NA,NA,NA,600,10,1 in 12,10,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Carolina,Male,25,Asian or Pacific Islander,Catholic,Some of the time,Democrat,,Not very strong Democrat,,,,,0,1,1,0,0.5,0,0,0,0,0,0,2,Dem,0,R_01ZfIB4iVIFjztH,main_measurement,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,10,1 in 12,0.1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New York,Male,36,Black or African American,Non-Evangelical Protestant,Some of the time,Democrat,,Not very strong Democrat,,,,,1,1,1,1,1,0,0,0,0,0,0,2,Dem,1,R_071tjo8adKM3fQl,timing,slow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,3,1 in 12,0.1,30,20,60,40,0,70,20,10,22,Missouri,Freedom of the press,The Democratic Party controls 57% of seats and the Republican Party controls 43%,Russia,3.799999952,11.30000019,NA,NA,40,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Florida,Male,33,White or Caucasian,Buddhist,Some of the time,Democrat,,Not very strong Democrat,,,dem,base_rate,1,0,1,1,0.75,0,1,1,0,1,0.600000024,2,Dem,0,R_0GqArNV1lNzJjeV,bayes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,1,1 in 12,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ohio,Female,33,Asian or Pacific Islander,Evangelical Protestant,Only now and then,Independent,,,,Closer to the Republican Party,,,1,0,1,0,0.5,0,0,0,0,0,0,5,Rep,1,R_0H4ET497pGXHQM9,timing,fast,81,3.237999916,3.237999916,4.632999897,1,62,4.489999771,5.184999943,6.531000137,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,6.021999836,6.021999836,7.335999966,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,10,1 in 12,0.1,15,50,45,35,20,50,35,15,22,,Freedom of the press,The Democratic Party controls 43% of seats and the Republican Party controls 57%,Russia,NA,NA,NA,NA,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,California,Male,26,Asian or Pacific Islander,Agnostic,Some of the time,Republican,,,Not very strong Republican,,dem,control,1,1,1,1,1,0,0,1,1,1,0.600000024,6,Rep,0,R_0TlkSLjAYpTFMmR,bayes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,10,1 in 12,0.1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Delaware,Male,33,Asian or Pacific Islander,Jewish,Most of the time,Democrat,,Strong Democrat,,,,,1,1,1,1,1,0,0,0,0,0,0,1,Dem,1,R_0UkyXMrd4q2JNHH,timing,fast,11,0,0,6.19299984,0,NA,NA,NA,NA,NA,12,0,0,5.968999863,0,NA,NA,NA,NA,NA,42,0,0,6.072999954,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,1,1 in 12,1%,NA,NA,NA,NA,NA,NA,NA,NA,50,Mississippi,Freedom of the press,,Russia,NA,NA,NA,NA,NA,NA,25,5,70,20,10,80,15,5,NA,NA,NA,NA,70,80,Michigan,Female,36,White or Caucasian,Evangelical Protestant,Some of the time,Republican,,,Not very strong Republican,,rep,control,1,0,1,0,0.5,1,0,1,0,1,0.600000024,6,Rep,0,R_0VdohHXBOWFWaAl,bayes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,10,1 in 12,0.10%,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kentucky,Female,27,White or Caucasian,Atheist,Some of the time,Democrat,,Strong Democrat,,,,,1,1,1,1,1,0,0,0,0,0,0,1,Dem,0,R_0dZoBbMw2MAFAlP,timing,fast,46,5.293000221,6.337999821,6.842999935,2,30,3.058000088,3.058000088,4.214000225,1,31,5.354000092,5.354000092,6.372000217,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,3.851000071,3.851000071,5.340000153,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,10,1 in 12,0.1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tennessee,Male,38,White or Caucasian,Other,Some of the time,Republican,,,Not very strong Republican,,,,1,1,1,1,1,0,0,0,0,0,0,6,Rep,1,R_0dmQvd1X5z4Ro89,timing,fast,NA,NA,NA,NA,NA,20,1.695000052,5.811999798,6.448999882,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,2.34100008,6.967000008,7.769999981,4,40,5.587999821,5.587999821,6.243000031,1,26,5.568999767,8.239999771,8.866000175,2
33,34,6,44,28,15,24,35,NA,NA,NA,NA,NA,NA,NA,NA,500,10,1 in 12,0.1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Delaware,Male,23,White or Caucasian,Atheist,Only now and then,Republican,,,Not very strong Republican,,,,1,1,1,1,1,0,0,0,0,0,0,6,Rep,1,R_0e9BWU2LHDniWhb,main_measurement,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
