kara_gpa,kara_work,dave_gpa,dave_work,james_gpa,james_cf,linda_gpa,linda_cf,num1,num2,num3,num4,state,gender,education,pid - Selected Choice,pid - Other party (please specify below) - Text,pid_dem,pid_rep,pid_ind,political_attn,age,race,relig,"Thanks again for helping with our research. If you have any final questions or comments, feel free to leave them here. Please click through to the next screen to receive your MTurk code.",james_cond,cf_race,cf_spouse,cf_relig,linda,cf_race - Topics,james_dem,james_rep,james_partisan,james_no_cf,james_dem_cf,james_rep_cf,james_cf_n,james_cond_n,linda_cf_n
3.50 - 3.79,Kara works for a tech company,3.00 - 3.49,Somewhat unlikely,3.80 - 4.00,James works in sales and is an active supporter of the Republican Party,3.00 - 3.49,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.01,Vermont,Male,Some college,Republican,NA,NA,Not very strong Republican,NA,8,30-39,White/Caucasian,"Evangelical Protestant (e.g., Baptist, Pentecostal)",NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",conservative,NA,1,0,1,0,0,1,3,Representative of Dems.,1
3.80 - 4.00,Kara works for a tech company,3.50 - 3.79,Somewhat likely,3.80 - 4.00,James works in sales,3.80 - 4.00,Linda is a bank teller,500,10,1 in 12,0.001,California,Male,High school degree or equivalent,Independent,NA,NA,NA,Closer to Democratic,8,30-39,White/Caucasian,Atheist,NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",conservative,NA,1,0,1,1,0,0,2,Representative of Dems.,0
3.80 - 4.00,Kara works for a tech company,3.00 - 3.49,Very unlikely,3.00 - 3.49,James works in sales,3.00 - 3.49,Linda is a bank teller,500,10,1 in 12,0.1,California,Male,Bachelor's degree,Democrat,NA,Not very strong Democrat,NA,NA,3,30-39,Hispanic/Latino,Agnostic,NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",conservative,NA,1,0,1,1,0,0,2,Representative of Dems.,0
3.80 - 4.00,Kara works for a tech company,3.00 - 3.49,Neither likely nor unlikely,3.50 - 3.79,James works in sales,3.50 - 3.79,Linda is a bank teller,500,10,1 in 12,0.1,Pennsylvania,Male,Some college,Democrat,NA,Strong Democrat,NA,NA,6,18-29,White/Caucasian,Agnostic,NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",liberal,NA,0,1,1,1,0,0,2,Representative of Reps.,0
3.80 - 4.00,Kara works for a tech company,3.00 - 3.49,Somewhat unlikely,3.80 - 4.00,James works in sales and is an active supporter of the Republican Party,3.80 - 4.00,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.001,Florida,Male,Bachelor's degree,Democrat,NA,Strong Democrat,NA,NA,5,18-29,White/Caucasian,Agnostic,NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",liberal,NA,0,1,1,0,0,1,3,Representative of Reps.,1
3.50 - 3.79,Kara works for a tech company,3.00 - 3.49,Very unlikely,3.80 - 4.00,James works in sales,3.50 - 3.79,Linda is a bank teller,500,10,1 in 12,0.01,Tennessee,Female,Advanced degree,Independent,NA,NA,NA,Neither,8,18-29,White/Caucasian,Atheist,NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",liberal,NA,1,0,1,1,0,0,2,Representative of Dems.,0
3.80 - 4.00,Kara works for a financial company,3.00 - 3.49,Somewhat likely,3.80 - 4.00,James works in sales and is an active supporter of the Democratic Party,3.00 - 3.49,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.01,California,Male,Bachelor's degree,Democrat,NA,Strong Democrat,NA,NA,10,30-39,Asian,Atheist,NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",conservative,NA,1,0,1,0,1,0,1,Representative of Dems.,1
3.80 - 4.00,Kara works for a financial company,3.00 - 3.49,Somewhat likely,3.80 - 4.00,James works in sales,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.001,Texas,Male,Some college,Independent,NA,NA,NA,Closer to Democratic,6,18-29,White/Caucasian,Agnostic,NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",liberal,NA,1,0,1,1,0,0,2,Representative of Dems.,1
3.50 - 3.79,Kara works for a financial company,3.00 - 3.49,Somewhat likely,3.00 - 3.49,James works in sales,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,500,0.1,1 in 12,0.1,New York,Male,Bachelor's degree,Independent,NA,NA,NA,Neither,5,30-39,Black/African American,Atheist,NA,control,white,Karen,NA,conservative,NA,0,0,0,1,0,0,2,Control,1
3.80 - 4.00,Kara works for a tech company,3.50 - 3.79,Somewhat unlikely,3.80 - 4.00,James works in sales and is an active supporter of the Democratic Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.1,Idaho,Male,High school degree or equivalent,Other party (please specify below),Constitutionalist,NA,NA,Closer to Republican,6,40-49,White/Caucasian,Latter-Day Saints/Mormon,NA,control,white,Karen,NA,liberal,NA,0,0,0,0,1,0,1,Control,1
3.80 - 4.00,Kara works for a tech company,3.50 - 3.79,Somewhat likely,3.50 - 3.79,James works in sales,3.00 - 3.49,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,1,Arizona,Female,Bachelor's degree,Independent,NA,NA,NA,Closer to Republican,6,30-39,White/Caucasian,Agnostic,NA,control,white,Karen,NA,conservative,NA,0,0,0,1,0,0,2,Control,1
3.50 - 3.79,Kara works for an art museum,3.00 - 3.49,Neither likely nor unlikely,3.50 - 3.79,James works in sales,3.00 - 3.49,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.1,Texas,Male,Bachelor's degree,Democrat,NA,Not very strong Democrat,NA,NA,5,18-29,Asian,Catholic,NA,control,white,Karen,NA,liberal,NA,0,0,0,1,0,0,2,Control,1
3.50 - 3.79,Kara works for a tech company,3.00 - 3.49,Somewhat likely,3.80 - 4.00,James works in sales and is an active supporter of the Democratic Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.1,Pennsylvania,Male,Bachelor's degree,Democrat,NA,Strong Democrat,NA,NA,8,30-39,White/Caucasian,Jewish,NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",liberal,NA,1,0,1,0,1,0,1,Representative of Dems.,1
3.80 - 4.00,Kara works for a financial company,3.50 - 3.79,Somewhat unlikely,3.50 - 3.79,James works in sales and is an active supporter of the Republican Party,2.50 - 2.99,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.001,Indiana,Male,Bachelor's degree,Independent,NA,NA,NA,Neither,5,50-64,White/Caucasian,"Mainline Protestant (e.g., Presbyterian, Episcopalian)",NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",liberal,NA,0,1,1,0,0,1,3,Representative of Reps.,1
3.80 - 4.00,Kara works for a tech company,3.00 - 3.49,Neither likely nor unlikely,3.50 - 3.79,James works in sales and is an active supporter of the Democratic Party,3.50 - 3.79,Linda is a bank teller,500,10,1 in 12,0.1,New York,Male,Some college,Democrat,NA,Strong Democrat,NA,NA,9,30-39,White/Caucasian,Atheist,NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",conservative,NA,0,1,1,0,1,0,1,Representative of Reps.,0
3.50 - 3.79,Kara works for a tech company,3.00 - 3.49,Somewhat unlikely,3.80 - 4.00,James works in sales and is an active supporter of the Democratic Party,3.80 - 4.00,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,1,Florida,Male,Some college,Republican,NA,NA,Not very strong Republican,NA,0,40-49,White/Caucasian,"Mainline Protestant (e.g., Presbyterian, Episcopalian)",NA,control,white,Karen,NA,conservative,NA,0,0,0,0,1,0,1,Control,1
